અયોધાતુ,અ-યોધા-તુ
હેતુવાદ,હે-તુવાદ
અલાબુવીણા,અલા-બુવી-ણા
ફરતાફરતી,ફર-તાફર-તી
મુક્તા,મુક્તા
યમદ્વિતીયા,યમ-દ્વિતી-યા
ગૃહપ્રધાન,ગૃ-હ-પ્ર-ધાન
હોંશાતોંશી,હોંશાતોંશી
પ્રજાત્મક,પ્ર-જાત્-મક
રાજરાણી,રાજ-રા-ણી
આર્કલૅમ્પ,આ-ર્-કલૅ-મ્પ
અસત્યતા,અ-સત્-ય-તા
વંચાલો,વંચાલો
ઉચ્છિષ્ટ,ઉચ્-છિષ્-ટ
ગચકડું,ગ-ચક-ડું
સચ્ચરિત્ર,સચ્-ચ-રિત્-ર
સુરદાસ,સુર-દાસ
આકુળ,આકુળ
પાટલિ,પાટલિ
બુદ્ધિવિકાસ,બુ-દ્-ધિવિ-કાસ
ચમકિત,ચ-મકિત
નોંધણીદાર,નોંધ-ણી-દાર
સંસ્થાવાસી,સં-સ્થાવા-સી
નિશ્ચિંતતા,નિશ્ચિં-ત-તા
વિકેટકીપર,વિ-કેટ-કી-પર
સંગના,સં-ગના
બૌદ્ધધર્મ,બૌદ્ધધર્-મ
આગાખાન,આ-ગાખાન
અવકાશ,અવ-કાશ
અવષ્ટંભન,અવષ્ટંભન
મૃદુલ,મૃદુલ
નૈષ્કામ્ય,નૈષ્-કામ્-ય
ભલ્લું,ભ-લ્-લું
રામૈયું,રા-મૈ-યું
તલસરું,તલસરું
દુર્લક્ષ્ય,દુર્-લક્-ષ્-ય
મેધાવિની,મેધાવિની
હક્કાર,હક્કાર
બેલાશક,બેલાશક
કુમક,કુમક
આશિક,આ-શિક
આકાશવલ્લી,આ-કાશવલ્-લી
ચવડ,ચવડ
સદ્ભાગી,સદ્ભાગી
ગાર્હપત્ય,ગા-ર્-હપત્-ય
અધઃશય્યા,અધઃશય્યા
નર્ગિસ,નર્-ગિસ
અસ્તુ,અ-સ્-તુ
નવશાહ,નવશાહ
રમણું,રમ-ણું
અંધેમૂલ,અં-ધેમૂ-લ
અતબાક,અતબાક
મેમૉરેન્ડમ,મેમૉરેન્ડમ
બુદ્ધમંદિર,બુ-દ્-ધમં-દિર
સદ્ગતિ,સદ્ગતિ
મરઘડો,મર-ઘ-ડો
ઉપેક્ષા,ઉ-પેક્-ષા
સાકટું,સા-કટું
હંસવૃત્તિ,હંસ-વૃત્-તિ
ભાવભર્યું,ભાવ-ભ-ર્યું
સ્ત્યાન,સ્-ત્યાન
ગુવાર,ગુવાર
સારસી,સાર-સી
અણબોલાવ્યું,અણબો-લાવ્યું
વિહંગ,વિહંગ
ઈડલીપીડલી,ઈડ-લીપીડ-લી
ઘરરખુ,ઘર-રખુ
સંસ્વેદજ,સં-સ્વેદજ
દૂપટ,દૂપટ
ધકાધકી,ધકા-ધકી
દંતૈયું,દંતૈયું
મોલ્લું,મો-લ્-લું
અઠયાશિયો,અઠયાશિયો
ગંગાગોળી,ગં-ગાગો-ળી
અયનકાલ,અયન-કાલ
અપચાર,અપ-ચાર
કીર્ત્તિવંત,કીર્ત્-તિવં-ત
પનિહારી,પનિ-હા-રી
સકુટુંબ,સકુ-ટુંબ
સથરામણ,સથ-રામણ
મુફસિલ,મુફસિ-લ
ક્રૂરપણું,ક્-રૂર-પ-ણું
મીનડું,મીનડું
બહિર્વેશન,બ-હિર્વેશન
અળાવડી,અ-ળાવ-ડી
રોહિત,રો-હિત
સીધુંસટ,સીધુંસટ
અરોગ,અરોગ
બવાસીર,બવા-સીર
અનાગ્રહ,અ-નાગ્રહ
રંગાટિયું,રં-ગાટિ-યું
મારકણું,મારક-ણું
ભાવેણું,ભાવેણું
નહેરી,ન-હે-રી
અવંતર,અવં-તર
ચીતવું,ચી-ત-વું
ઉંદરકણી,ઉં-દરકણી
અચવાવવું,અચ-વાવ-વું
ત્રસેંથિયું,ત્-રસેંથિ-યું
તજગારવું,તજ-ગાર-વું
અચલ,અ-ચ-લ
આપ્તકામ,આ-પ્-ત-કામ
નવરત્ન,નવરત્-ન
નુમાઇશ,નુ-મા-ઇશ
કલાબૂત,ક-લાબૂત
સાબરશીંગડું,સાબરશીંગ-ડું
પ્રમોદ,પ્રમોદ
સડ,સડ
ચપળતા,ચ-પળ-તા
અવ્યવહારુ,અવ્યવ-હા-રુ
સંતોખ,સં-તોખ
સાર્થકય,સાર્-થક-ય
ટૂરિસ્ટ,ટૂ-રિસ્ટ
ઓસારવું,ઓ-સાર-વું
બાગી,બાગી
લાડકું,લાડ-કું
ભળકિયું,ભળકિ-યું
કમિશન,કમિશન
વાલરા,વાલરા
ગમગીની,ગમ-ગીની
અત્યાહાર,અત્યાહાર
અલિરુત,અલિરુત
જંપાવું,જં-પા-વું
તીખુંતમતમું,તી-ખુંતમત-મું
નિદ્રા,નિદ્રા
અપ્રમાણિક,અપ્ર-મા-ણિક
આકર્ષ,આકર્ષ
વ્યાયામશાળા,વ્યા-યા-મ-શા-ળા
ગુપ્તઈ,ગુપ્-તઈ
પૈતામહક,પૈતા-મ-હક
જરાવું,જ-રા-વું
હાડિયું,હા-ડિ-યું
આડતીસાં,આડ-તીસાં
આદિત,આ-દિત
ખિલઅત,ખિલઅત
કુવલયાપીડ,કુ-વ-લયા-પીડ
ગુંઠો,ગુંઠો
ચશ્મેધબ,ચશ્-મેધ-બ
સ્વાગતમંત્રી,સ્વાગત-મં-ત્રી
મંત્રપ્રયોગ,મં-ત્-ર-પ્ર-યોગ
નાટકશાલા,ના-ટક-શાલા
પોણિયો,પો-ણિ-યો
ઉભયવાચી,ઉભયવાચી
સળાવો,સળાવો
ઢળાઈઘર,ઢળાઈઘર
રંગકામ,રંગકામ
અર્થભેદ,અર્-થ-ભેદ
ઓઝરવું,ઓ-ઝર-વું
અત્રપ,અત્-ર-પ
પેનિસિલીન,પેનિસિલીન
માંડવડી,માંડવ-ડી
ડાયટ,ડા-યટ
અચ્છેરો,અચ્-છેરો
અવ્યર્થ,અવ્યર્-થ
કૃત્રિમતા,કૃત્રિ-મતા
જગદંબા,જ-ગદંબા
સુંવાળી,સું-વા-ળી
ખનિજ,ખનિજ
ફાટેલું,ફાટેલું
અટ્ઠમ,અટ્ઠમ
અબલક,અ-બલક
તગદીર,તગદીર
લવ્વો,લવ્વો
ચોમેર,ચોમેર
મનસ્વિની,મનસ્વિની
ભર્ત્રી,ભ-ર્ત્રી
અંસતુંડ,અંસ-તુંડ
આધીનપણું,આ-ધીન-પ-ણું
બમઠસ,બમઠસ
ચાહેલું,ચા-હે-લું
અનુદર્શન,અ-નુ-દર્-શન
તંદૂરી,તંદૂરી
અભેદદર્શન,અ-ભેદદર્-શન
ડાબલા,ડા-બ-લા
ફોડ,ફોડ
વીરપૂજા,વીર-પૂ-જા
ફરોદસ્ત,ફ-રોદ-સ્-ત
કાષ્ઠકૂટ,કાષ્ઠકૂટ
પાસિફિક,પાસિફિક
ઉપાદેય,ઉ-પાદેય
ચંદ્રમંડળ,ચં-દ્રમંડળ
કપાલ,ક-પાલ
કસ્તર,કસ્-તર
હમેશગી,હ-મેશગી
અંબોઈ,અં-બોઈ
શૅરબજારિયો,શૅર-બ-જારિ-યો
અતિવૃષ્ટિ,અ-તિવૃષ્-ટિ
ભૂખહડતાલ,ભૂખહડ-તાલ
સાહેબો,સા-હેબો
ત્રિપુંડક,ત્રિપુંડક
સમાજશાસ્ત્રી,સ-માજ-શાસ્-ત્રી
સંભા,સં-ભા
સુપુષ્ટ,સુ-પુષ્-ટ
પ્રવાહક,પ્ર-વાહક
મહાંભોધિ,મહાંભોધિ
ભદ્રાકરણ,ભદ્રાકરણ
આસ્થાઈ,આસ્થાઈ
ઉપમેયોપમા,ઉપ-મેયોપ-મા
ડહેંકવું,ડ-હેંક-વું
ઓટામણી,ઓ-ટામ-ણી
માઇક,મા-ઇક
કાંચનછાલ,કાંચનછાલ
કટોદાન,ક-ટોદાન
ઘનફળ,ઘન-ફળ
નથણી,નથ-ણી
નૈસર્ગિકતા,નૈ-સર્-ગિક-તા
દીનાનાથ,દીનાનાથ
સમમાત્રિક,સ-મમાત્રિક
ચોફૂલું,ચોફૂલું
દેવકપાસ,દેવક-પાસ
કવિજન,ક-વિ-જન
નૃશંસ્ય,નૃ-શંસ્-ય
લખલખ,લખ-લખ
ઢસડાવું,ઢસ-ડા-વું
ડંબેલ્સ,ડંબેલ્સ
ઈશ્વરભાવ,ઈશ્-વર-ભાવ
અશુદ્ધાત્મા,અ-શુદ્ધાત્-મા
હરિતાલ,હ-રિતાલ
ઘુરકાવવું,ઘુર-કાવ-વું
ભથરણું,ભ-થર-ણું
કંપન,કંપન
મુડદારશિંગ,મુ-ડ-દાર-શિંગ
પરસ્વરૂપજન્ય,પરસ્વ-રૂપજન્-ય
જટાયુ,જટાયુ
સ્વયંપાકી,સ્વયંપાકી
મહાવ્યથા,મ-હાવ્ય-થા
સરકારવાડો,સર-કાર-વા-ડો
ઇન્ટરપ્રિટેશન,ઇન્ટરપ્રિટેશન
ઓળઘોળ,ઓ-ળઘોળ
બૂકડો,બૂક-ડો
ત્રિપિટક,ત્રિપિટક
પછે,પ-છે
અભિદ્યેય,અ-ભિદ્યેય
રૅકેટ,રૅકેટ
ઈપ્સિત,ઈપ્સિત
અવગાહિની,અવ-ગાહિ-ની
રખ્યા,રખ્-યા
મણાવું,મ-ણા-વું
વેલબુટ્ટી,વેલબુટ્ટી
કૂંભું,કૂંભું
અવિધવાનોમ,અ-વિધ-વા-નોમ
મહત્ત્વૈષણા,મ-હત્ત્વૈષણા
બ્યુરેટ,બ્યુરેટ
નિગાહ,નિગાહ
ગરગડી,ગર-ગ-ડી
સળો,સળો
ઘરખેડ,ઘર-ખેડ
અડિયું,અ-ડિ-યું
આણોતાણો,આણોતાણો
કુલદેવતા,કુલ-દેવ-તા
રેટિના,રેટિના
સમજાવવું,સ-મ-જાવ-વું
ટુહૂક,ટુહૂક
પાધર,પાધર
કામવાળો,કામ-વા-ળો
ખબાખબ,ખ-બા-ખ-બ
ખરો,ખરો
અયસ્કાન્તન્યાય,અ-યસ્-કાન્-તન્યાય
ખારસ્તી,ખા-રસ્-તી
અધ્યેતવ્ય,અધ્યેતવ્ય
ઢેંક,ઢેંક
સુવા,સુ-વા
રજવાડું,રજ-વા-ડું
હરામી,હ-રા-મી
ચેરવું,ચે-ર-વું
વિરલ,વિ-ર-લ
ઘરેડો,ઘ-રેડો
જોઈતુંકરતું,જોઈતુંકર-તું
પ્રસિદ્ધકર્તા,પ્ર-સિદ્ધકર્-તા
મથરાવટી,મ-થ-રાવટી
કકડાવવું,ક-ક-ડાવ-વું
અલ્પરજ,અલ્-પરજ
ગપોડો,ગપોડો
વનવાસ,વન-વાસ
સદમો,સદ-મો
દોડી,દોડી
નવાણુ,ન-વાણુ
અતિવાદ,અ-તિ-વાદ
વિનાશકારક,વિ-નાશ-કારક
રસળાટ,રસળાટ
અભયપટ્ટો,અભયપટ્ટો
ખરચો,ખર-ચો
બુલેટિન,બુલેટિન
અષ્ટકોણ,અ-ષ્-ટ-કોણ
ચુલેતરો,ચુ-લેત-રો
જસ્ટિસ,જ-સ્ટિસ
આત્યંતિક,આત્યંતિક
વિસ્મરાવવું,વિસ્મ-રાવ-વું
ભેંસલો,ભેં-સ-લો
વૃત્તાર્ધ,વૃત્તાર્ધ
અફરાવું,અફ-રા-વું
જવખાર,જવ-ખા-ર
કાર્તિક,કાર્-તિક
ભુસાવું,ભુ-સા-વું
હલામણ,હ-લામણ
ફોજદારી,ફોજદા-રી
પાંડવ,પાંડવ
ઉકાળાવવું,ઉ-કાળાવ-વું
ફાંસોટિયું,ફાં-સોટિ-યું
અદીપ,અદીપ
અંતરિખ,અં-ત-રિખ
લેવડાવવું,લેવ-ડાવ-વું
અંસાસ્થિ,અંસાસ્થિ
બકબકારો,બક-બ-કા-રો
કરબવું,કર-બ-વું
શિખી,શિખી
અરુગ્ણતા,અરુગ્ણતા
પરમતસહન,પરમતસહન
ગણન,ગણન
અષ્ટાદશપુરાણ,અ-ષ્-ટાદ-શ-પુ-રાણ
પટામણું,પ-ટામ-ણું
બાઘેલું,બા-ઘે-લું
તડૂકવું,ત-ડૂક-વું
આસરે,આસ-રે
ઢસડવું,ઢ-સડ-વું
કૈવર્ત,કૈ-વર્-ત
ઢગ,ઢગ
અલસેક્ષણ,અ-લ-સેક્-ષણ
નાપિત,ના-પિ-ત
અભેદવાચક,અભેદ-વા-ચક
બટકાવું,બટ-કા-વું
ઠોબારી,ઠો-બા-રી
પખોડવું,પ-ખોડ-વું
કબાબચીની,ક-બા-બચી-ની
સાંદ્રતા,સાં-દ્ર-તા
કિલ્બિષ,કિલ્બિષ
મુક્કાટવું,મુક્કાટવું
પ્રેમપત્ર,પ્રેમ-પત્-ર
દૂરઅંદેશો,દૂરઅંદેશો
આશાવરી,આ-શાવ-રી
ટાંગાતોડ,ટાંગાતોડ
બરછીદાર,બરછીદાર
વિવાદાત્મક,વિ-વા-દાત્-મક
આત્મતોષણ,આત્-મ-તોષણ
અઠાસી,અઠાસી
લાંચરિશ્વત,લાંચ-રિ-શ્-વત
વરસોળી,વર-સો-ળી
નિસ્,નિસ્
મેટવું,મેટ-વું
અનંતકોટિ,અ-નં-ત-કોટિ
અંધાધૂની,અં-ધાધૂની
ત્રસ્ત,ત્-રસ્-ત
આમોદપ્રમોદ,આમોદપ્રમોદ
વીરશૈવ,વીરશૈવ
ખોરડ,ખોરડ
અપ્રતિહત,અપ્ર-તિહત
ખતવણી,ખતવ-ણી
કાંડાબળ,કાંડાબળ
ગૃહત્યાગી,ગૃ-હત્યા-ગી
નરહરિ,નરહ-રિ
સારો,સા-રો
ઊખડી,ઊ-ખ-ડી
યુરેશિયા,યુ-રેશિ-યા
ચિખલ,ચિ-ખ-લ
રગ્બી,રગ્બી
અકલકરો,અકલક-રો
ગંભીરતા,ગં-ભીર-તા
રાજેંદ્ર,રાજેંદ્ર
વિખાણ,વિખાણ
તવેથો,તવેથો
જોટવાં,જોટવાં
શાક્યનંદન,શાક્યનંદન
ઝૂલણા,ઝૂલણા
ચક્રગોળ,ચક્રગોળ
આચમન,આ-ચ-મન
જ્યોતિષ્ટોમ,જ્-યો-તિષ્-ટોમ
શુમાર,શુ-માર
જન્મજાત,જન્-મ-જાત
અરુણોદય,અરુણોદય
હીક,હીક
આડખીલ,આડખીલ
જ્યેષ્ઠાધિકાર,જ્યે-ષ્-ઠાધિ-કાર
લક્કડપીઠ,લક્કડપીઠ
માડો,મા-ડો
કણવીર,કણવીર
સાચૂલું,સાચૂલું
અવિદ્રાવ્ય,અ-વિદ્રાવ્ય
છોબંધ,છોબંધ
કીર્ત્તનકાર,કીર્-ત્-તન-કાર
શીધું,શીધું
ઘનીકરણ,ઘનીકરણ
નોગરવું,નો-ગર-વું
ખટનટ,ખટનટ
અસ્તબ્ધતા,અ-સ્-ત-બ્-ધ-તા
અદમ્યતા,અદમ્-ય-તા
ઉદ્યોગમંદિર,ઉદ્યોગમંદિર
પાંગરું,પાં-ગ-રું
આડેદી,આડેદી
વનસ્થલી,વનસ્-થ-લી
મુનિશેખર,મુ-નિશેખર
જહન્નમ,જ-હન્-નમ
ટાઈપિસ્ટ,ટાઈપિસ્ટ
ભ્રષ્ટતા,ભ્રષ્-ટ-તા
સૌમ્યતર,સૌમ્-યતર
ખિરોયું,ખિરોયું
માગધ,માગ-ધ
આઘીપાછી,આઘીપાછી
કંપોઝકામ,કંપોઝકામ
અરણીસુત,અર-ણીસુત
તીક્ષ્ણદંત,તીક્-ષ્-ણદંત
ધર્મભાઈ,ધર્-મ-ભા-ઈ
સભણ,સ-ભણ
ચંપેલી,ચં-પે-લી
કાંકોલ,કાંકોલ
ઉન્મેષપદ્ધતિ,ઉન્મે-ષપ-દ્-ધ-તિ
ઉમાર્ગ,ઉમાર્ગ
ખરચખૂટણ,ખરચખૂટણ
જનવાર્તા,જન-વાર્-તા
રેવાજી,રેવાજી
ઓકળી,ઓ-ક-ળી
પીપડું,પીપ-ડું
વાચાળ,વા-ચાળ
ઉદયાચળ,ઉદ-યાચળ
ધ્યાનમંત્ર,ધ્યાનમં-ત્-ર
ગરમીમાપક,ગર-મી-મા-પક
ભત્તું,ભત્તું
કીનાખોર,કીનાખોર
ચિત્તક્ષોભ,ચિ-ત્-ત-ક્ષોભ
પરિર્દશ્યમાન,પ-રિર્-દશ્-ય-માન
કુમિત્ર,કુ-મિત્-ર
મોટેલ,મોટેલ
મગરૂરી,મગરૂ-રી
ફાંગ,ફાંગ
અક્કડખાં,અક્કડખાં
અનાશ્રિત,અ-નાશ્રિત
ઓખાત,ઓખાત
મહાત્મા,મ-હાત્-મા
ઢૂંકડું,ઢૂં-ક-ડું
અનન્યભક્તિ,અ-નન્-ય-ભક્-તિ
ગેમે,ગેમે
મોહનીય,મો-હની-ય
ગ્રહશાંતેક,ગ્રહશાંતેક
આશ્રમસ્થ,આશ્રમસ્-થ
ફરકી,ફર-કી
વિદ્વેષિતા,વિદ્વેષિતા
તબાહ,તબાહ
તોષાવવું,તો-ષાવ-વું
અલ્પશક્તિ,અલ્-પ-શક્તિ
કૂબડી,કૂ-બ-ડી
અરલવો,અર-લ-વો
વહેંચાવવું,વ-હેંચાવ-વું
કુળતારક,કુળ-તારક
પૂંછલવું,પૂંછલવું
અણસમજુ,અણસ-મ-જુ
બળદગાડી,બળ-દ-ગા-ડી
બહરું,બહરું
દ્રવ્યયજ્ઞ,દ્ર-વ્ય-યજ્-ઞ
અભ્યાસપત્ર,અભ્-યાસપત્-ર
મલત્યાગ,મલત્યા-ગ
કાળુંકટ,કા-ળુંકટ
જંકશન,જંકશન
પર્ચી,પર્ચી
આનંદસિંધુ,આ-નંદસિંધુ
દિવટિયું,દિ-વટિ-યું
લોઢામણી,લો-ઢામ-ણી
કવા,ક-વા
વણિકબુદ્ધિ,વ-ણિકબુદ્ધિ
અંતરવેલ,અં-તર-વેલ
ડબડી,ડ-બ-ડી
અનર્ગલ,અ-નર્ગલ
કપડમટ્ટી,કપડમટ્ટી
ટીકડી,ટીક-ડી
પ્રત્યાશી,પ્રત્યા-શી
બટકાટવું,બટ-કાટ-વું
સ્કાઉટ,સ્-કા-ઉટ
ખટાપટી,ખ-ટાપ-ટી
જવતલિયો,જવતલિયો
કિલન્ન,કિ-લન્-ન
ભારોટિયો,ભા-રોટિ-યો
કાર્યકુશલતા,કાર્-ય-કુશલ-તા
ટંકાર,ટંકાર
ધનુષ,ધ-નુષ
ઝંખાવું,ઝં-ખા-વું
હાથમેળાવો,હાથમે-ળાવો
ઝાડુવાળો,ઝા-ડુવા-ળો
ડિસ્ટન્સ,ડિસ્ટન્સ
સહીડું,સ-હીડું
તામ્ર,તા-મ્-ર
પથિક,પથિક
હઠાત્,હઠાત્
અવીર,અવીર
છિછકલું,છિછકલું
પારસજાંબુ,પારસજાં-બુ
ઇબાદત,ઇબાદત
આઢ,આઢ
દ્વૈરથ,દ્વૈરથ
પહટાવવું,પહ-ટાવ-વું
નામિક,નામિક
બાપકર્મી,બાપકર્મી
ચોરાચોર,ચો-રાચોર
આહર્તા,આ-હર્-તા
અગરાડા,અ-ગ-રાડા
ક્રિકેટર,ક્રિકેટર
રાજસત્તાત્મક,રાજસત્-તાત્-મક
રેંસવું,રેં-સ-વું
ગર્ભજોગી,ગર્-ભજો-ગી
પરિતપ્ત,પ-રિત-પ્-ત
છમાસી,છમાસી
ભલ્લૂક,ભલ્લૂક
તાલીમવર્ગ,તા-લીમ-વર્ગ
હોંશીલું,હોંશીલું
કબી,કબી
રાજમુગટ,રાજમુ-ગટ
કદરદાન,કદર-દાન
ભડસાળ,ભડ-સાળ
હિતાર્થ,હિ-તાર્-થ
ભટાણી,ભટાણી
અતર્પ્ય,અતર્પ્ય
જ્ઞાનવાદી,જ્-ઞાન-વા-દી
ભાર્ગવ,ભા-ર્ગ-વ
ચાપું,ચાપું
જગતિયું,જ-ગ-તિ-યું
આળપંપાળ,આ-ળપં-પાળ
મઠેરણું,મ-ઠેર-ણું
ગીર,ગીર
ગાંઠવું,ગાં-ઠ-વું
દોષરહિત,દોષરહિત
વીમાચિઠ્ઠી,વીમાચિઠ્ઠી
રિવિઝન,રિવિઝન
ગંધાક્ષત,ગં-ધાક્-ષ-ત
દોંગાઈ,દોંગાઈ
બુકસેલર,બુકસેલર
અંતરજ્ઞ,અં-તરજ્-ઞ
સુવાસણી,સુ-વાસણી
ખૂટેલું,ખૂટેલું
નાગરસ,નાગરસ
પોઠિયો,પોઠિયો
ગોષ્ઠિવિનોદ,ગો-ષ્-ઠિવિ-નોદ
ચાદાની,ચા-દા-ની
ગંધગજ,ગંધગજ
કુશળ,કુશળ
વણપ્રીછ્યું,વણપ્રીછ્યું
રાજતિલક,રાજતિ-લક
ખાખઠું,ખાખઠું
ત્રાંબટ,ત્રાંબટ
નીતિપરાયણ,ની-તિ-પ-રા-યણ
જમ્બો,જમ્બો
ખખરવું,ખ-ખર-વું
કમરપટ્ટો,કમરપટ્ટો
અસફળ,અ-સ-ફળ
પૅરેલલબાર્સ,પૅરેલલ-બાર્સ
ખુન્નસી,ખુ-ન્-ન-સી
અદીર્ઘદર્શી,અદીર્ઘદર્શી
પ્રેમકથા,પ્રેમક-થા
સંમતિવય,સં-મ-તિવ-ય
વિષયલંપટતા,વિ-ષય-લં-પટ-તા
આત્મતત્ત્વવિદ્યા,આત્મતત્ત્વવિદ્યા
ઓગટ,ઓ-ગટ
વાનસ્પતિક,વાનસ્પ-તિક
અસ્થિરાશિ,અ-સ્થિરાશિ
ઝપેટો,ઝપેટો
ભંભેરાવું,ભં-ભેરા-વું
વિમોહા,વિમોહા
અડીદીઠ,અડીદીઠ
મેઘપુષ્પ,મેઘ-પુષ્-પ
ભભકવું,ભ-ભક-વું
ભીષ્મ,ભીષ્મ
પાંખડું,પાંખ-ડું
અલોણાવ્રત,અ-લોણા-વ્રત
જળનેવરી,જળ-નેવ-રી
પરગલ,પર-ગલ
અખંડાકાર,અ-ખંડાકાર
દોવરાવવું,દોવ-રાવ-વું
નોહાર,નોહાર
સૂંઢવું,સૂંઢ-વું
અભ્યર્થના,અભ્-યર્-થ-ના
નાકાવેરો,ના-કાવે-રો
સહેવડાવવું,સ-હે-વ-ડાવ-વું
દીપન,દીપન
સાવધાનગીરી,સાવ-ધાન-ગી-રી
ભ્રાંતિકારક,ભ્રાં-તિ-કારક
જગમત,જ-ગમત
વિદેશીય,વિ-દે-શીય
વિચારાવવું,વિ-ચારાવ-વું
ચાણક્ય,ચાણક્ય
મામલત,મામલત
જીવારોપણ,જી-વા-રોપણ
અવટાવું,અવ-ટા-વું
ભેળાભેળું,ભેળાભેળું
ઘડઘડાટ,ઘડઘ-ડાટ
રામગોટીલો,રામગો-ટીલો
અધિરાય,અ-ધિરા-ય
સમાનાધિકરણ,સ-માનાધિકરણ
અગ્નિત્રય,અગ્-નિત્-ર-ય
અતિશે,અ-તિશે
ગડગૂંદું,ગડગૂંદું
ચરડ,ચરડ
શનિપ્રદોષ,શ-નિ-પ્ર-દોષ
વખૂટવું,વ-ખૂટ-વું
કચડાવું,કચ-ડા-વું
જોરજબરી,જોરજબરી
ભિખ્ખુ,ભિખ્ખુ
ઉદધિમેખલા,ઉદધિમેખ-લા
માઘેલું,મા-ઘે-લું
બેનસીબ,બેન-સીબ
તર્કવાદ,તર્-ક-વાદ
મતવાદ,મત-વાદ
વિવર્ણ,વિ-વર્-ણ
ઢમઢોલ,ઢમ-ઢોલ
ધનગોપ,ધનગોપ
કપાળી,ક-પા-ળી
જલચરગૃહ,જલ-ચર-ગૃ-હ
તારણફંડ,તારણફંડ
હળદિયું,હળદિયું
તુંડમિજાજી,તુંડમિ-જા-જી
અંતર્જકાત,અં-તર્-જ-કાત
મિલેનિયમ,મિલે-નિ-યમ
ગોકુળપુરી,ગોકુળપુરી
આક્રમિત,આક્ર-મિત
ભીજવવું,ભી-જવ-વું
દુરાસાદ્ય,દુરાસાદ્ય
સૌરઅચલાંક,સૌ-રઅચલાંક
ડબૂકવું,ડ-બૂક-વું
વૈદરાજ,વૈદ-રાજ
માલુકાર,માલુકાર
ઇટ્ટી,ઇટ્ટી
ઘકારાંત,ઘકારાંત
વમિ,વમિ
સંસ્કારગ્રાહિતા,સં-સ્-કારગ્રા-હિ-તા
અતિથ,અ-તિથ
ઉદ્ભાવિત,ઉદ્ભાવિત
નસીબવાદી,ન-સીબવા-દી
તકાવ,ત-કાવ
રેઝોનન્સ,રેઝોનન્સ
જાહેદ,જા-હેદ
ડણું,ડણું
અયુતસિદ્ધ,અયુતસિદ્ધ
ક્રાંતિકારી,ક્રાં-તિ-કા-રી
હૂણ,હૂણ
વાતોડું,વાતોડું
ત્રેવીશ,ત્રે-વીશ
અપભ્રંશભાષી,અપભ્રંશભાષી
સુસ્થાપિત,સુસ્થા-પિ-ત
હુતદ્રવ્ય,હુ-ત-દ્ર-વ્ય
અણુતા,અ-ણુ-તા
તારામતી,તા-રામ-તી
કાર્યપધ્ધતિ,કાર્-ય-પધ્-ધતિ
વાંઝિયાબાનું,વાંઝિયાબાનું
આણો,આણો
હોહાકાર,હો-હા-કાર
ખેરખાહ,ખેર-ખાહ
સંબો,સં-બો
અધપગલું,અધ-પગ-લું
રબારીવાડ,ર-બા-રીવાડ
આંઘોળ,આંઘોળ
બલગમ,બલગમ
અબંધી,અ-બં-ધી
મહોલાત,મ-હોલાત
ક્રોધાળ,ક્રો-ધાળ
ઉદાન,ઉ-દાન
ભાવોત્કંપ,ભાવોત્કંપ
ડગમગાટ,ડગમ-ગાટ
પુણ્યમય,પુણ્-યમય
ઘોંચાટવું,ઘોં-ચાટ-વું
ઔચિત્ય,ઔ-ચિત્-ય
આઠકોટી,આઠકોટી
મહોબત,મ-હોબત
ચોકઠું,ચોકઠું
મહિમ્નસ્તોત્ર,મ-હિ-મ્-નસ્-તોત્-ર
સદેહે,સદેહે
કરંડિકા,કરંડિકા
દૂધાધારી,દૂ-ધાધા-રી
અપક્રાંતિ,અપક્રાં-તિ
આક્રમ,આક્રમ
ટૅબ્લેટ,ટૅબ્લેટ
જહેજ,જહેજ
ટોકન,ટોકન
જવતલ,જવતલ
ગજકણ,ગજકણ
સ્નેહાકિંત,સ્નેહાકિંત
નાવાકેફ,નાવાકેફ
ડિબેન્ચર,ડિબેન્ચર
આનંદવર્ષી,આ-નંદવર્ષી
ફતનિયું,ફતનિયું
અમારિપડહ,અ-મારિ-પડહ
અતબેગી,અત-બેગી
કંઠાવરોધ,કંઠાવ-રોધ
બીલી,બીલી
રોકડિયો,રો-કડિ-યો
ચરડકો,ચરડ-કો
ચૌદસ,ચૌદસ
સર્વાર્થી,સર્-વાર્-થી
મુક્તાફલ,મુક્તાફલ
હરતાલ,હર-તાલ
ઉલસાવવું,ઉલ-સાવ-વું
પ્રવીણપણું,પ્ર-વીણપ-ણું
ઔદાસીન્ય,ઔદા-સીન્-ય
નાફેરવાદ,નાફેર-વાદ
ઘોડવહેલ,ઘોડવ-હેલ
આસરાગત,આસ-રાગત
અસ્ત્રાગાર,અ-સ્-ત્રા-ગાર
દટણખાળ,દટણખાળ
યુયુત્સા,યુ-યુત્-સા
પોટ્ટિલ,પોટ્ટિલ
દોલત,દો-લત
તહસીલદારી,તહસીલ-દા-રી
ટૅમ્પરરી,ટૅમ્પરરી
આભારવશતા,આ-ભાર-વ-શ-તા
નવલવાદી,નવ-લ-વા-દી
ભુરકસ,ભુરકસ
પાલર,પાલર
મોયરું,મો-ય-રું
શરયુ,શરયુ
બાંયધર,બાંય-ધર
દરમ્યાન,દરમ્યાન
અર્ધઘેલું,અર્ધઘેલું
પરમિશન,પર-મિશન
કાંકચિયું,કાં-કચિ-યું
